model,link,z_min,z_max,height_m,seen_2d,seen_3d
shell,north,0.0,4.0,4.0,1,1
shell,south,0.0,4.0,4.0,1,1
shell,east,0.0,4.0,4.0,1,1
shell,west,0.0,4.0,4.0,1,1
spine,spine_n_0,0.0,4.0,4.0,1,1
spine,spine_n_2,0.0,4.0,4.0,1,1
spine,spine_n_4,0.0,4.0,4.0,1,1
spine,spine_n_6,0.0,4.0,4.0,1,1
spine,spine_n_8,0.0,4.0,4.0,1,1
spine,spine_n_10,0.0,4.0,4.0,1,1
spine,spine_n_12,0.0,4.0,4.0,1,1
spine,spine_n_14,0.0,4.0,4.0,1,1
spine,spine_s_0,0.0,4.0,4.0,1,1
spine,spine_s_2,0.0,4.0,4.0,1,1
spine,spine_s_4,0.0,4.0,4.0,1,1
spine,spine_s_6,0.0,4.0,4.0,1,1
spine,spine_s_8,0.0,4.0,4.0,1,1
spine,spine_s_10,0.0,4.0,4.0,1,1
spine,spine_s_12,0.0,4.0,4.0,1,1
spine,spine_s_14,0.0,4.0,4.0,1,1
rooms_n,pn0_0,0.0,4.0,4.0,1,1
rooms_n,pn1_0,0.0,4.0,4.0,1,1
rooms_n,pn1_2,0.0,4.0,4.0,1,1
rooms_n,pn2_0,0.0,4.0,4.0,1,1
rooms_n,pn2_2,0.0,4.0,4.0,1,1
rooms_n,pn3_0,0.0,4.0,4.0,1,1
rooms_n,pn3_2,0.0,4.0,4.0,1,1
rooms_n,pn4_0,0.0,4.0,4.0,1,1
rooms_n,pn5_0,0.0,4.0,4.0,1,1
rooms_n,pn5_2,0.0,4.0,4.0,1,1
rooms_n,backn_0,0.0,4.0,4.0,1,1
rooms_n,backn_2,0.0,4.0,4.0,1,1
rooms_n,backn_4,0.0,4.0,4.0,1,1
rooms_n,backn_6,0.0,4.0,4.0,1,1
rooms_s,ps0_0,0.0,4.0,4.0,1,1
rooms_s,ps1_0,0.0,4.0,4.0,1,1
rooms_s,ps2_0,0.0,4.0,4.0,1,1
rooms_s,ps3_0,0.0,4.0,4.0,1,1
rooms_s,ps4_0,0.0,4.0,4.0,1,1
rooms_s,ps5_0,0.0,4.0,4.0,1,1
rooms_s,backs_0,0.0,4.0,4.0,1,1
rooms_s,backs_2,0.0,4.0,4.0,1,1
rooms_s,backs_4,0.0,4.0,4.0,1,1
rooms_s,backs_6,0.0,4.0,4.0,1,1
crates,crate_0,0.0,2.6,2.6,1,1
crates,crate_1,0.0,2.6,2.6,1,1
crates,crate_2,0.0,2.6,2.6,1,1
crates,crate_3,0.0,2.6,2.6,1,1
crates,crate_4,0.0,2.6,2.6,1,1
crates,crate_5,0.0,2.6,2.6,1,1
crates,crate_6,0.0,2.6,2.6,1,1
crates,crate_7,0.0,2.6,2.6,1,1
crates,crate_8,0.0,2.6,2.6,1,1
crates,crate_9,0.0,2.6,2.6,1,1
crates,crate_10,0.0,2.6,2.6,1,1
crates,crate_11,0.0,2.6,2.6,1,1
crates,crate_12,0.0,2.6,2.6,1,1
crates,crate_13,0.0,2.6,2.6,1,1
pallets,pallet_0,0.0,1.1,1.1,0,1
pallets,pallet_1,0.0,1.1,1.1,0,1
pallets,pallet_2,0.0,1.1,1.1,0,1
pallets,pallet_3,0.0,1.1,1.1,0,1
pallets,pallet_4,0.0,1.1,1.1,0,1
pallets,pallet_5,0.0,1.1,1.1,0,1
pallets,pallet_6,0.0,1.1,1.1,0,1
pallets,pallet_7,0.0,1.1,1.1,0,1
pallets,pallet_8,0.0,1.1,1.1,0,1
pallets,pallet_9,0.0,1.1,1.1,0,1
pallets,pallet_10,0.0,1.1,1.1,0,1
pallets,pallet_11,0.0,1.1,1.1,0,1
pallets,pallet_12,0.0,1.1,1.1,0,1
pallets,pallet_13,0.0,1.1,1.1,0,1
columns,col_0,0.0,4.0,4.0,1,1
columns,col_1,0.0,4.0,4.0,1,1
columns,col_2,0.0,4.0,4.0,1,1
columns,col_3,0.0,4.0,4.0,1,1
