t,gt_x,gt_y,gt_z,gt_yaw,est_x,est_y,est_yaw
244.7000,-0.0103,0.0049,2.3450,-0.03811,-0.0283,0.0062,-0.11129
244.8000,-0.0104,0.0041,2.3425,-0.03826,-0.0312,0.0081,-0.11141
244.9000,-0.0109,0.0030,2.3445,-0.03838,-0.0336,0.0089,-0.11153
245.0000,-0.0104,0.0011,2.3478,-0.03851,-0.0355,0.0087,-0.11164
245.1000,-0.0093,-0.0007,2.3419,-0.03862,-0.0362,0.0081,-0.11181
245.2000,-0.0090,-0.0029,2.3352,-0.03868,-0.0358,0.0066,-0.11193
245.3000,-0.0084,-0.0055,2.3301,-0.03871,-0.0345,0.0043,-0.11188
245.4000,-0.0075,-0.0079,2.3298,-0.03870,-0.0329,0.0018,-0.11185
245.5000,-0.0060,-0.0103,2.3318,-0.03867,-0.0312,-0.0007,-0.11181
245.6000,-0.0041,-0.0128,2.3351,-0.03861,-0.0284,-0.0035,-0.11175
245.7000,-0.0021,-0.0153,2.3400,-0.03854,-0.0251,-0.0069,-0.11164
245.8000,0.0003,-0.0180,2.3440,-0.03849,-0.0213,-0.0113,-0.11157
245.9040,0.0021,-0.0206,2.3456,-0.03846,-0.0180,-0.0155,-0.11159
246.0000,0.0035,-0.0227,2.3436,-0.03842,-0.0149,-0.0196,-0.11166
246.1000,0.0042,-0.0249,2.3367,-0.03767,-0.0125,-0.0226,-0.11113
246.2000,0.0037,-0.0268,2.3348,-0.03709,-0.0113,-0.0245,-0.11059
246.3000,0.0037,-0.0280,2.3335,-0.03681,-0.0106,-0.0258,-0.11021
246.4000,0.0034,-0.0291,2.3260,-0.03666,-0.0105,-0.0265,-0.10996
246.5000,0.0021,-0.0296,2.3253,-0.03672,-0.0118,-0.0269,-0.10986
246.6000,0.0009,-0.0298,2.3324,-0.03696,-0.0140,-0.0272,-0.10989
246.7000,0.0006,-0.0296,2.3369,-0.03730,-0.0161,-0.0274,-0.11000
246.8000,-0.0001,-0.0292,2.3358,-0.03768,-0.0178,-0.0277,-0.11022
246.9000,-0.0012,-0.0286,2.3295,-0.03807,-0.0187,-0.0280,-0.11049
247.0000,-0.0030,-0.0278,2.3263,-0.03849,-0.0199,-0.0283,-0.11083
247.1000,-0.0044,-0.0269,2.3193,-0.03887,-0.0214,-0.0282,-0.11112
247.2000,-0.0061,-0.0258,2.3178,-0.03921,-0.0229,-0.0276,-0.11137
247.3000,-0.0070,-0.0245,2.3168,-0.03949,-0.0243,-0.0264,-0.11157
247.4000,-0.0078,-0.0231,2.3181,-0.03971,-0.0251,-0.0246,-0.11174
247.5000,-0.0081,-0.0216,2.3211,-0.03985,-0.0254,-0.0220,-0.11193
247.6000,-0.0084,-0.0199,2.3261,-0.03991,-0.0251,-0.0190,-0.11205
247.7000,-0.0083,-0.0180,2.3329,-0.03992,-0.0241,-0.0171,-0.11220
247.8000,-0.0081,-0.0166,2.3372,-0.03990,-0.0229,-0.0155,-0.11233
247.9000,-0.0078,-0.0153,2.3387,-0.03986,-0.0218,-0.0140,-0.11240
248.0000,-0.0081,-0.0139,2.3406,-0.03977,-0.0210,-0.0120,-0.11241
248.1000,-0.0084,-0.0128,2.3433,-0.03965,-0.0204,-0.0101,-0.11233
248.2000,-0.0087,-0.0119,2.3461,-0.03951,-0.0195,-0.0089,-0.11223
248.3000,-0.0087,-0.0111,2.3437,-0.03938,-0.0178,-0.0086,-0.11212
248.4000,-0.0093,-0.0106,2.3404,-0.03927,-0.0157,-0.0090,-0.11208
248.5000,-0.0102,-0.0102,2.3406,-0.03916,-0.0139,-0.0094,-0.11204
248.6000,-0.0108,-0.0099,2.3418,-0.03908,-0.0123,-0.0095,-0.11202
248.7000,-0.0116,-0.0098,2.3423,-0.03899,-0.0115,-0.0104,-0.11194
248.8000,-0.0129,-0.0097,2.3465,-0.03889,-0.0114,-0.0121,-0.11184
248.9000,-0.0139,-0.0098,2.3499,-0.03882,-0.0117,-0.0144,-0.11173
249.0000,-0.0151,-0.0099,2.3518,-0.03876,-0.0126,-0.0163,-0.11168
249.1000,-0.0169,-0.0099,2.3556,-0.03872,-0.0145,-0.0178,-0.11163
249.2000,-0.0188,-0.0099,2.3587,-0.03868,-0.0169,-0.0186,-0.11159
249.3000,-0.0208,-0.0096,2.3604,-0.03865,-0.0195,-0.0187,-0.11155
249.4000,-0.0230,-0.0091,2.3613,-0.03865,-0.0233,-0.0171,-0.11159
249.5000,-0.0253,-0.0084,2.3622,-0.03864,-0.0264,-0.0151,-0.11166
249.6000,-0.0275,-0.0077,2.3651,-0.03862,-0.0301,-0.0122,-0.11170
249.7000,-0.0293,-0.0068,2.3701,-0.03860,-0.0329,-0.0106,-0.11171
249.8000,-0.0303,-0.0062,2.3739,-0.03860,-0.0352,-0.0098,-0.11169
249.9000,-0.0312,-0.0057,2.3698,-0.03862,-0.0373,-0.0100,-0.11175
250.0000,-0.0323,-0.0054,2.3641,-0.03863,-0.0395,-0.0104,-0.11177
250.1000,-0.0337,-0.0053,2.3624,-0.03862,-0.0410,-0.0104,-0.11178
250.2000,-0.0343,-0.0052,2.3651,-0.03860,-0.0416,-0.0103,-0.11176
250.3000,-0.0340,-0.0053,2.3691,-0.03858,-0.0413,-0.0103,-0.11176
250.4000,-0.0326,-0.0055,2.3690,-0.03855,-0.0404,-0.0105,-0.11178
250.5000,-0.0321,-0.0057,2.3660,-0.03851,-0.0391,-0.0110,-0.11182
250.6000,-0.0316,-0.0061,2.3686,-0.03847,-0.0378,-0.0112,-0.11190
250.7000,-0.0307,-0.0064,2.3739,-0.03843,-0.0367,-0.0113,-0.11192
250.8000,-0.0295,-0.0069,2.3794,-0.03839,-0.0361,-0.0115,-0.11195
250.9000,-0.0282,-0.0074,2.3853,-0.03835,-0.0357,-0.0122,-0.11194
251.0000,-0.0270,-0.0081,2.3905,-0.03831,-0.0350,-0.0130,-0.11195
251.1000,-0.0255,-0.0087,2.3877,-0.03826,-0.0337,-0.0136,-0.11185
251.2000,-0.0251,-0.0093,2.3865,-0.03818,-0.0320,-0.0140,-0.11169
251.3000,-0.0244,-0.0098,2.3847,-0.03810,-0.0304,-0.0137,-0.11148
251.4000,-0.0238,-0.0104,2.3857,-0.03801,-0.0287,-0.0130,-0.11126
251.5000,-0.0228,-0.0110,2.3832,-0.03796,-0.0277,-0.0123,-0.11112
251.6000,-0.0223,-0.0117,2.3840,-0.03795,-0.0269,-0.0116,-0.11103
251.7000,-0.0213,-0.0125,2.3816,-0.03800,-0.0263,-0.0117,-0.11104
251.8000,-0.0209,-0.0135,2.3801,-0.03809,-0.0262,-0.0136,-0.11119
251.9000,-0.0202,-0.0147,2.3756,-0.03822,-0.0267,-0.0161,-0.11142
252.0000,-0.0201,-0.0161,2.3712,-0.03837,-0.0274,-0.0189,-0.11166
252.1000,-0.0196,-0.0174,2.3653,-0.03850,-0.0275,-0.0217,-0.11187
252.2000,-0.0195,-0.0187,2.3596,-0.03859,-0.0272,-0.0249,-0.11198
252.3000,-0.0193,-0.0197,2.3587,-0.03862,-0.0266,-0.0283,-0.11202
252.4000,-0.0186,-0.0206,2.3598,-0.03861,-0.0257,-0.0307,-0.11199
252.5000,-0.0174,-0.0211,2.3582,-0.03855,-0.0247,-0.0325,-0.11191
252.6000,-0.0168,-0.0213,2.3552,-0.03846,-0.0240,-0.0340,-0.11182
252.7000,-0.0165,-0.0211,2.3570,-0.03835,-0.0233,-0.0355,-0.11171
252.8000,-0.0161,-0.0206,2.3595,-0.03827,-0.0225,-0.0365,-0.11159
252.9000,-0.0156,-0.0199,2.3616,-0.03820,-0.0218,-0.0371,-0.11148
253.0000,-0.0154,-0.0190,2.3632,-0.03816,-0.0206,-0.0372,-0.11143
253.1000,-0.0152,-0.0178,2.3620,-0.03813,-0.0191,-0.0366,-0.11138
253.2000,-0.0156,-0.0163,2.3610,-0.03811,-0.0178,-0.0354,-0.11135
253.3000,-0.0159,-0.0147,2.3576,-0.03812,-0.0175,-0.0333,-0.11129
253.4000,-0.0170,-0.0131,2.3577,-0.03814,-0.0181,-0.0303,-0.11119
253.5000,-0.0178,-0.0110,2.3565,-0.03817,-0.0196,-0.0272,-0.11104
253.6000,-0.0189,-0.0093,2.3545,-0.03823,-0.0219,-0.0241,-0.11092
253.7000,-0.0201,-0.0077,2.3548,-0.03831,-0.0246,-0.0217,-0.11084
253.8000,-0.0211,-0.0064,2.3566,-0.03841,-0.0274,-0.0191,-0.11080
253.9000,-0.0218,-0.0051,2.3575,-0.03856,-0.0297,-0.0164,-0.11090
254.0000,-0.0224,-0.0042,2.3565,-0.03872,-0.0316,-0.0136,-0.11110
254.1000,-0.0228,-0.0035,2.3554,-0.03888,-0.0326,-0.0113,-0.11134
254.2000,-0.0232,-0.0030,2.3525,-0.03904,-0.0334,-0.0096,-0.11161
254.3000,-0.0234,-0.0029,2.3525,-0.03917,-0.0337,-0.0087,-0.11183
254.4000,-0.0231,-0.0030,2.3514,-0.03928,-0.0334,-0.0089,-0.11199
254.5000,-0.0226,-0.0034,2.3526,-0.03935,-0.0329,-0.0098,-0.11210
254.6000,-0.0219,-0.0040,2.3554,-0.03937,-0.0323,-0.0109,-0.11216
254.7000,-0.0210,-0.0049,2.3588,-0.03935,-0.0317,-0.0124,-0.11219
254.8000,-0.0199,-0.0059,2.3602,-0.03928,-0.0315,-0.0142,-0.11221
254.9000,-0.0191,-0.0068,2.3588,-0.03918,-0.0321,-0.0153,-0.11221
255.0000,-0.0187,-0.0075,2.3585,-0.03905,-0.0335,-0.0156,-0.11213
255.1000,-0.0182,-0.0081,2.3568,-0.03890,-0.0349,-0.0151,-0.11201
255.2000,-0.0178,-0.0086,2.3555,-0.03874,-0.0359,-0.0139,-0.11185
255.3000,-0.0171,-0.0089,2.3494,-0.03858,-0.0366,-0.0125,-0.11169
255.4000,-0.0168,-0.0092,2.3469,-0.03844,-0.0369,-0.0107,-0.11153
255.5000,-0.0160,-0.0095,2.3453,-0.03835,-0.0364,-0.0090,-0.11138
255.6000,-0.0149,-0.0099,2.3459,-0.03830,-0.0352,-0.0072,-0.11131
255.7000,-0.0135,-0.0105,2.3486,-0.03830,-0.0330,-0.0051,-0.11125
255.8000,-0.0119,-0.0111,2.3541,-0.03834,-0.0299,-0.0029,-0.11126
255.9000,-0.0095,-0.0121,2.3542,-0.03842,-0.0268,-0.0010,-0.11130
256.0000,-0.0080,-0.0132,2.3493,-0.03851,-0.0241,0.0005,-0.11142
256.1000,-0.0072,-0.0146,2.3463,-0.03860,-0.0215,0.0014,-0.11154
256.2000,-0.0067,-0.0162,2.3468,-0.03868,-0.0190,0.0011,-0.11167
256.3000,-0.0059,-0.0183,2.3477,-0.03877,-0.0169,-0.0003,-0.11183
256.4000,-0.0053,-0.0209,2.3501,-0.03885,-0.0151,-0.0024,-0.11198
256.5000,-0.0046,-0.0239,2.3543,-0.03888,-0.0142,-0.0046,-0.11208
256.6000,-0.0041,-0.0268,2.3543,-0.03887,-0.0135,-0.0068,-0.11215
256.7000,-0.0044,-0.0296,2.3504,-0.03882,-0.0135,-0.0084,-0.11211
256.8000,-0.0051,-0.0322,2.3482,-0.03875,-0.0143,-0.0105,-0.11204
256.9000,-0.0060,-0.0347,2.3446,-0.03868,-0.0151,-0.0127,-0.11196
257.0000,-0.0074,-0.0377,2.3441,-0.03858,-0.0156,-0.0153,-0.11178
257.1000,-0.0081,-0.0398,2.3459,-0.03851,-0.0164,-0.0180,-0.11160
257.2000,-0.0087,-0.0422,2.3483,-0.03845,-0.0174,-0.0211,-0.11141
257.3000,-0.0096,-0.0444,2.3496,-0.03842,-0.0192,-0.0238,-0.11133
257.4000,-0.0105,-0.0465,2.3549,-0.03841,-0.0213,-0.0259,-0.11130
257.5000,-0.0113,-0.0481,2.3543,-0.03841,-0.0234,-0.0280,-0.11129
257.6000,-0.0126,-0.0495,2.3556,-0.03845,-0.0257,-0.0306,-0.11128
257.7000,-0.0138,-0.0506,2.3589,-0.03850,-0.0275,-0.0330,-0.11126
257.8000,-0.0146,-0.0515,2.3625,-0.03857,-0.0288,-0.0356,-0.11127
257.9000,-0.0151,-0.0521,2.3661,-0.03863,-0.0292,-0.0374,-0.11127
258.0000,-0.0153,-0.0524,2.3678,-0.03868,-0.0287,-0.0383,-0.11134
258.1000,-0.0156,-0.0524,2.3630,-0.03874,-0.0279,-0.0384,-0.11145
258.2000,-0.0166,-0.0520,2.3644,-0.03880,-0.0274,-0.0388,-0.11153
258.3000,-0.0167,-0.0514,2.3682,-0.03887,-0.0278,-0.0399,-0.11150
258.4000,-0.0165,-0.0507,2.3662,-0.03891,-0.0288,-0.0416,-0.11138
258.5000,-0.0168,-0.0497,2.3655,-0.03896,-0.0298,-0.0430,-0.11128
258.6000,-0.0171,-0.0486,2.3629,-0.03901,-0.0312,-0.0441,-0.11119
258.7000,-0.0177,-0.0471,2.3664,-0.03906,-0.0323,-0.0442,-0.11116
258.8000,-0.0176,-0.0455,2.3729,-0.03910,-0.0330,-0.0437,-0.11114
258.9000,-0.0171,-0.0435,2.3797,-0.03915,-0.0333,-0.0432,-0.11113
259.0000,-0.0165,-0.0412,2.3866,-0.03919,-0.0333,-0.0428,-0.11115
259.1000,-0.0156,-0.0386,2.3875,-0.03924,-0.0328,-0.0428,-0.11124
259.2000,-0.0153,-0.0359,2.3846,-0.03929,-0.0322,-0.0427,-0.11132
259.3000,-0.0156,-0.0330,2.3858,-0.03935,-0.0317,-0.0423,-0.11139
259.4000,-0.0152,-0.0294,2.3877,-0.03939,-0.0307,-0.0409,-0.11142
259.5000,-0.0146,-0.0263,2.3881,-0.03941,-0.0299,-0.0389,-0.11141
259.6000,-0.0140,-0.0229,2.3837,-0.03941,-0.0296,-0.0365,-0.11127
259.7000,-0.0141,-0.0194,2.3841,-0.03942,-0.0297,-0.0338,-0.11112
259.8000,-0.0138,-0.0160,2.3878,-0.03944,-0.0301,-0.0305,-0.11093
259.9000,-0.0131,-0.0125,2.3929,-0.03947,-0.0308,-0.0270,-0.11074
260.0000,-0.0121,-0.0092,2.3963,-0.03954,-0.0319,-0.0232,-0.11056
260.1000,-0.0110,-0.0059,2.3955,-0.03967,-0.0327,-0.0199,-0.11056
260.2000,-0.0109,-0.0019,2.3883,-0.03937,-0.0334,-0.0164,-0.11029
260.3000,-0.0105,0.0001,2.3849,-0.03941,-0.0336,-0.0133,-0.11030
260.4000,-0.0093,0.0014,2.3814,-0.03962,-0.0322,-0.0111,-0.11058
260.5000,-0.0079,0.0025,2.3777,-0.03987,-0.0299,-0.0085,-0.11094
260.6000,-0.0063,0.0036,2.3705,-0.04010,-0.0272,-0.0052,-0.11126
260.7000,-0.0052,0.0047,2.3635,-0.04027,-0.0237,-0.0011,-0.11147
260.8000,-0.0045,0.0056,2.3613,-0.04038,-0.0206,0.0021,-0.11162
260.9000,-0.0033,0.0064,2.3628,-0.04050,-0.0170,0.0044,-0.11179
261.0000,-0.0020,0.0066,2.3654,-0.04065,-0.0143,0.0049,-0.11195
261.1000,-0.0010,0.0063,2.3648,-0.04076,-0.0110,0.0049,-0.11208
261.2000,-0.0001,0.0056,2.3607,-0.04087,-0.0083,0.0043,-0.11214
261.3000,-0.0001,0.0046,2.3519,-0.04092,-0.0055,0.0035,-0.11210
261.4000,-0.0007,0.0033,2.3407,-0.04094,-0.0034,0.0027,-0.11197
261.5000,-0.0016,0.0022,2.3261,-0.04094,-0.0030,0.0018,-0.11197
261.6000,-0.0035,0.0006,2.3054,-0.04093,-0.0037,0.0004,-0.11200
261.7000,-0.0060,-0.0009,2.2919,-0.04091,-0.0057,-0.0016,-0.11209
261.8000,-0.0076,-0.0023,2.2805,-0.04090,-0.0080,-0.0030,-0.11223
261.9000,-0.0101,-0.0041,2.2681,-0.04087,-0.0112,-0.0042,-0.11241
262.0000,-0.0125,-0.0058,2.2575,-0.04079,-0.0145,-0.0050,-0.11253
262.1000,-0.0145,-0.0072,2.2482,-0.04067,-0.0174,-0.0051,-0.11264
262.2000,-0.0168,-0.0087,2.2406,-0.04050,-0.0204,-0.0049,-0.11272
262.3000,-0.0182,-0.0102,2.2354,-0.04047,-0.0229,-0.0046,-0.11284
262.4000,-0.0199,-0.0116,2.2293,-0.04056,-0.0252,-0.0043,-0.11304
262.5000,-0.0215,-0.0122,2.2216,-0.04045,-0.0272,-0.0039,-0.11302
262.6000,-0.0233,-0.0128,2.2100,-0.04024,-0.0288,-0.0036,-0.11282
262.7000,-0.0252,-0.0136,2.2039,-0.04003,-0.0305,-0.0035,-0.11260
262.8000,-0.0265,-0.0145,2.2031,-0.03980,-0.0320,-0.0039,-0.11238
262.9000,-0.0268,-0.0159,2.2013,-0.03957,-0.0338,-0.0047,-0.11219
263.0000,-0.0275,-0.0175,2.1982,-0.03935,-0.0358,-0.0058,-0.11208
263.1000,-0.0278,-0.0191,2.1962,-0.03918,-0.0379,-0.0075,-0.11198
263.2000,-0.0280,-0.0209,2.1906,-0.03900,-0.0397,-0.0090,-0.11192
263.3000,-0.0284,-0.0226,2.1900,-0.03886,-0.0411,-0.0105,-0.11186
263.4000,-0.0281,-0.0244,2.1936,-0.03872,-0.0419,-0.0118,-0.11173
263.5000,-0.0273,-0.0259,2.1950,-0.03860,-0.0417,-0.0128,-0.11158
263.6000,-0.0261,-0.0274,2.1938,-0.03848,-0.0409,-0.0143,-0.11147
